Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                     0                     1                     2                     3                     4                     5                     6                     7                     8                     9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     40 | ( 157.0,  62.0)=27259 ( 154.8,  62.0)=    0 ( 155.0,  62.0)=    0 ( 150.5,  62.0)=    0 ( 148.4,  62.0)=    0 ( 146.3,  62.0)=    0 ( 144.2,  62.0)=    0 ( 142.1,  62.0)=    0 ( 140.0,  62.0)=    0 ( 137.9,  62.0)=    0 
     41 | ( 285.0,  89.0)=26789 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
     42 | ( 136.0, 125.0)=26323 ( 133.2, 125.1)=    0 ( 133.0, 125.0)=    0 ( 127.7, 125.3)=    0 ( 125.0, 125.4)=    0 ( 122.3, 125.5)=    0 ( 119.6, 125.6)=    0 ( 116.9, 125.7)=    0 ( 114.1, 125.9)=    0 ( 111.4, 126.0)=    0 
     43 | ( 259.0, 146.0)=25959 ( 255.4, 146.0)=    0 ( 255.0, 146.0)=    0 ( 249.2, 146.1)=    0 ( 246.2, 146.1)=    0 ( 243.3, 146.1)=    0 ( 240.3, 146.1)=    0 ( 237.3, 146.2)=    0 ( 234.3, 146.2)=    0 ( 231.4, 146.3)=    0 
     44 | (  95.0, 195.0)=24704 (  90.5, 195.0)=    0 (  91.0, 195.0)=    0 (  81.6, 195.1)=    0 (  77.1, 195.2)=    0 (  72.8, 195.3)=    0 (  68.5, 195.4)=    0 (  64.2, 195.4)=    0 (  59.8, 195.5)=    0 (  55.6, 195.6)=    0 
     45 | ( 219.0, 197.0)=23162 ( 213.6, 197.1)=    0 ( 214.0, 197.0)=    0 ( 202.8, 197.3)=    0 ( 197.5, 197.4)=    0 ( 192.2, 197.5)=    0 ( 187.0, 197.7)=    0 ( 181.7, 197.9)=    0 ( 176.4, 198.1)=    0 ( 171.2, 198.4)=    0 
     46 | ( 257.0, 178.0)=23162 ( 253.6, 178.1)=    0 ( 254.0, 178.0)=    0 ( 246.8, 178.1)=    0 ( 243.5, 178.2)=    0 ( 240.2, 178.2)=    0 ( 236.9, 178.3)=    0 ( 233.6, 178.3)=    0 ( 230.2, 178.4)=    0 ( 226.9, 178.4)=    0 
     47 | ( 220.0, 212.0)=23069 ( 214.2, 212.0)=    0 ( 214.0, 212.0)=    0 ( 202.4, 212.0)=    0 ( 196.4, 212.0)=    0 ( 190.4, 212.1)=    0 ( 184.4, 212.0)=    0 ( 178.5, 212.1)=    0 ( 172.7, 212.2)=    0 ( 166.8, 212.3)=    0 
     48 | ( 171.0, 190.0)=22195 ( 166.2, 190.0)=    0 ( 166.0, 190.0)=    0 ( 156.8, 189.8)=    0 ( 152.2, 189.7)=    0 ( 147.5, 189.7)=    0 ( 142.9, 189.6)=    0 ( 138.3, 189.5)=    0 ( 133.6, 189.5)=    0 ( 128.9, 189.4)=    0 
     49 | ( 208.0, 189.0)=21353 ( 202.9, 189.1)=    0 ( 203.0, 189.0)=    0 ( 192.8, 189.3)=    0 ( 187.7, 189.3)=    0 ( 182.7, 189.4)=    0 ( 177.7, 189.5)=    0 ( 172.7, 189.6)=    0 ( 167.6, 189.6)=    0 ( 162.6, 189.7)=    0 
     50 | ( 244.0,  96.0)=21265 ( 240.3,  96.0)=    0 ( 240.0,  96.0)=    0 ( 233.0,  95.8)=    0 ( 229.4,  95.7)=    0 ( 225.8,  95.7)=    0 ( 222.3,  95.7)=    0 ( 218.7,  95.7)=    0 ( 215.0,  95.8)=    0 ( 211.4,  95.9)=    0 
     51 | ( 142.0, 169.0)=21096 ( 138.3, 169.1)=    0 ( 138.0, 169.0)=    0 ( 131.1, 169.1)=    0 ( 127.5, 169.2)=    0 ( 123.9, 169.3)=    0 ( 120.2, 169.4)=    0 ( 116.6, 169.5)=    0 ( 113.1, 169.5)=    0 ( 109.6, 169.6)=    0 
